Transaction ID,Account Number,Customer Name,Transaction Date,Transaction Time,Transaction Type,Amount,Balance Before,Balance After,Transaction Mode,Branch Code,City,Country,Is Fraudulent,Employee ID
T000001,GB64ZSJQ66108078837837,Michelle Russo,2025-01-09,16:54:17,Transfer,336.73,6069.31,5732.58,Bank Branch,BR-255,Blackland,Saudi Arabia,Yes,E1908
T000002,GB20VUXF97731068400157,David Jimenez,2025-01-18,09:06:00,Deposit,4396.15,15960.12,20356.27,Online,BR-252,Kevinview,Vanuatu,Yes,
T000003,GB64KCLR07048343643238,Jennifer Fritz,2025-01-15,20:40:09,Deposit,4737.4,3053.82,7791.22,Bank Branch,BR-930,South Michaelville,Moldova,No,
T000004,GB78CCAK96480553682962,Bruce Taylor,2025-01-07,21:14:18,Transfer,473.98,17571.17,17097.19,Online,BR-676,Amytown,Finland,Yes,E1601
T000005,GB38MWVD72310475058924,Joshua Graham,2025-01-02,01:46:23,Withdrawal,2455.65,17313.27,14857.62,ATM,BR-411,North Jennifer,Moldova,No,
T000006,GB96ZUPF75809319429076,Cindy Mann,2025-01-02,23:57:17,Deposit,392.6,5226.24,5618.84,Bank Branch,BR-187,West Jeremiahville,Svalbard & Jan Mayen Islands,Yes,E1670
T000007,GB40YSQW79209207712362,Jennifer Moss,2025-01-21,00:49:44,Deposit,3814.98,16515.15,20330.13,ATM,BR-354,East Christopherstad,Wallis and Futuna,Yes,
T000008,GB84VTRU90860966615896,Megan Morris,2025-01-13,10:31:38,Deposit,3840.88,9745.76,13586.64,ATM,BR-221,Kathleenside,Central African Republic,Yes,
T000009,GB49NXXE55523039706586,Kathryn Reilly,2025-01-13,02:30:44,Transfer,685.54,6798.63,6113.09,Online,BR-671,Charlesshire,Argentina,No,
T000010,GB06WTJI79843412707680,Eddie Watson,2025-01-16,20:20:06,Deposit,2402.65,16111.56,18514.21,Bank Branch,BR-882,Edwardmouth,Ecuador,Yes,
T000011,GB27VROX79588439367323,Robert Francis,2025-01-10,04:45:43,Transfer,2771.53,5324.31,2552.78,Bank Branch,BR-526,South Erica,Eritrea,Yes,
T000012,GB62BCZM88243959065153,Roberto Serrano,2025-01-19,09:25:44,Transfer,1362.03,1449.62,87.59,Bank Branch,BR-720,Shanemouth,Tajikistan,No,E1455
T000013,GB74DSZO59618823721344,Dana Griffith,2025-01-16,15:12:43,Transfer,4368.54,4669.47,300.93,Bank Branch,BR-710,New Michaelburgh,Bolivia,No,
T000014,GB06SDKL83549241347131,Kendra Melton,2025-01-22,08:40:35,Deposit,2144.53,7236.98,9381.51,Online,BR-909,East Adam,Venezuela,No,
T000015,GB46NBCF24377396753282,Ms. Mary Adams,2025-01-03,07:00:37,Transfer,1098.4,17422.71,16324.31,Online,BR-733,Port Sharonland,Barbados,No,
T000016,GB95XSQS60117261183784,James Benton,2025-01-08,09:54:26,Withdrawal,2719.52,19370.89,16651.37,ATM,BR-331,Smithside,Ecuador,No,
T000017,GB61PYQO46016960725535,Marvin Smith,2025-01-01,00:06:14,Deposit,3663.16,6303.37,9966.53,Online,BR-894,Alexandermouth,United States Virgin Islands,No,E1282
T000018,GB71BAHJ96962280304080,Lisa Schroeder,2025-01-06,11:03:08,Deposit,1045.7,13188.15,14233.85,Bank Branch,BR-635,New Angelachester,Dominica,Yes,E1991
T000019,GB20ZYOO90790332392746,Scott Miller,2025-01-18,16:24:16,Deposit,1593.0,8593.89,10186.89,Online,BR-489,Tinabury,Kiribati,No,
T000020,GB48YCJY69661650415056,Sandra Smith,2025-01-09,16:20:12,Deposit,4975.99,19641.84,24617.83,ATM,BR-561,Garrettfort,Malaysia,Yes,E1093
T000021,GB17QNPP52032489495839,Troy King,2025-01-07,20:29:58,Deposit,3266.9,11188.1,14455.0,Bank Branch,BR-553,North Judychester,Turkmenistan,No,E1657
T000022,GB94MQOQ83058211536031,James Torres,2025-01-11,03:38:28,Transfer,2218.6,18845.51,16626.91,Bank Branch,BR-404,Blackfort,Andorra,Yes,
T000023,GB18HKTN16886622624468,Stephanie Stokes,2025-01-11,18:20:46,Transfer,2612.0,3191.49,579.49,ATM,BR-980,Melanieville,Georgia,Yes,E1249
T000024,GB74AOVW32589888503007,Jack Smith,2025-01-21,20:14:33,Deposit,648.97,19437.61,20086.58,ATM,BR-702,Port Edwardton,Gabon,Yes,E1805
T000025,GB95UELE67053024882644,Leah Taylor,2025-01-01,16:37:24,Transfer,1162.25,4392.79,3230.54,Bank Branch,BR-539,Tracyshire,Mauritania,No,E1070
T000026,GB94EHZR48087133967515,Daryl Cuevas,2025-01-22,02:27:43,Deposit,1723.52,19288.15,21011.67,Online,BR-412,South Rebecca,Netherlands Antilles,No,E1600
T000027,GB84CYOU15194722595395,David Johnson,2025-01-06,11:51:21,Transfer,2962.13,6043.86,3081.73,Online,BR-682,West Rebeccaland,Japan,No,E1832
T000028,GB42EKII63651232904533,Michael Fuller,2025-01-15,17:36:37,Transfer,1189.07,3059.65,1870.58,Bank Branch,BR-735,Lake Mollybury,Canada,No,E1336
T000029,GB39NVBZ17391830557978,Jennifer Mills,2025-01-15,17:22:11,Transfer,1140.08,9256.71,8116.63,Bank Branch,BR-161,Johnsonhaven,Greenland,Yes,E1807
T000030,GB30CJAB65564851854942,Paula Reese,2025-01-13,04:23:39,Transfer,401.42,14842.36,14440.94,Bank Branch,BR-724,Rosebury,Liberia,No,E1283
T000031,GB11OSYY31606337827996,Bridget White,2025-01-09,12:36:00,Withdrawal,3173.96,6959.87,3785.91,Online,BR-857,North Christopher,Ukraine,No,
T000032,GB35FGNC88918132691779,Kim Johnson,2025-01-03,08:50:42,Deposit,1183.26,12517.97,13701.23,Online,BR-201,Nathanland,Georgia,No,E1817
T000033,GB53YBSF75156589615217,Jennifer Kramer,2025-01-04,10:54:44,Withdrawal,4531.83,10717.04,6185.21,Bank Branch,BR-881,Washingtonberg,Timor-Leste,Yes,E1112
T000034,GB29IBEG65924010841132,Scott Wilson,2025-01-03,18:42:21,Transfer,4305.2,8318.71,4013.51,ATM,BR-312,Anthonytown,Russian Federation,No,E1134
T000035,GB18SPSI59603332564838,Troy Sanchez,2025-01-19,09:08:22,Withdrawal,400.74,11955.17,11554.43,Bank Branch,BR-740,New Suzanne,Suriname,No,E1366
T000036,GB09JDRS65007561514757,Manuel Christian,2025-01-06,05:17:27,Deposit,1228.12,5839.73,7067.85,Bank Branch,BR-316,Grahamhaven,Guernsey,No,
T000037,GB74NPZB39970938644544,Kurt Johnson,2025-01-19,19:18:35,Deposit,3361.44,14466.92,17828.36,Online,BR-370,Mooretown,Wallis and Futuna,No,E1016
T000038,GB55VSYP82917157215275,Trevor Cardenas,2025-01-20,14:22:24,Transfer,1110.47,1032.13,-78.34,Bank Branch,BR-776,Port Charleston,Romania,No,E1271
T000039,GB27WYWK38943327261854,Barbara Ochoa,2025-01-22,03:03:17,Withdrawal,704.94,18585.93,17880.99,Online,BR-183,Lake Donnahaven,Georgia,No,
T000040,GB94NRCS60849374134949,Whitney Martin,2025-01-07,17:50:51,Withdrawal,4680.8,11230.59,6549.79,ATM,BR-260,Erinmouth,Mauritania,No,E1538
T000041,GB69FWVF05662280373966,Andrew Chavez,2025-01-12,07:42:58,Withdrawal,2876.66,14669.17,11792.51,Bank Branch,BR-345,Port Brendabury,British Indian Ocean Territory (Chagos Archipelago),Yes,E1763
T000042,GB23GMRC49673018182444,Steven Shelton,2025-01-08,02:46:59,Deposit,2389.72,15097.05,17486.77,ATM,BR-277,West Dalton,United States of America,Yes,
T000043,GB63FIWQ02509086801686,Brenda Caldwell,2025-01-20,18:01:41,Deposit,3933.87,13741.94,17675.81,Bank Branch,BR-665,Greeneview,Rwanda,No,
T000044,GB50NUOR30609828890531,Todd Summers,2025-01-09,22:33:07,Withdrawal,4047.11,7920.21,3873.1,ATM,BR-176,West Jessicaland,Uzbekistan,Yes,E1525
T000045,GB59YNMH17202008408909,Angela Davis,2025-01-09,16:18:48,Deposit,992.53,2329.5,3322.03,Online,BR-260,Tarashire,Libyan Arab Jamahiriya,No,E1462
T000046,GB94YZYT73690062425624,Veronica Saunders,2025-01-10,16:03:33,Deposit,529.81,13620.52,14150.33,Bank Branch,BR-102,Elijahland,Macao,Yes,E1968
T000047,GB13CMEA29029565033845,Robin Herring,2025-01-05,18:52:49,Withdrawal,2183.7,7273.8,5090.1,Bank Branch,BR-518,Taylorshire,Iceland,No,
T000048,GB27YWQO54427333637819,Robert Ruiz,2025-01-04,18:56:20,Deposit,2146.71,6964.4,9111.11,ATM,BR-561,East Lisashire,Bahrain,No,E1469
T000049,GB43YOKN34004660309407,Daniel Walsh,2025-01-16,10:44:23,Withdrawal,2361.77,17112.29,14750.52,Online,BR-805,Klineborough,Afghanistan,No,
T000050,GB27ZDAJ60863620845577,Tracy Nguyen,2025-01-15,19:20:28,Withdrawal,3658.93,14675.33,11016.4,ATM,BR-708,Jasonside,Dominica,No,
